kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
7287995,CONFIRMED,12.03987488,2.18,502.0,1.0,4261.0,0.633,15.06,K,1,103.87151132919415
7287995,CONFIRMED,20.83762895,1.42,418.0,0.998,4261.0,0.633,7.24,K,1,21.067656068422316
3247396,FALSE POSITIVE,8.8111022,48.03,1399.0,0.0,6200.0,2.404,904.92,F,0,45.522114134597146
7303253,CONFIRMED,23.58917143,3.16,487.0,1.0,4919.0,0.721,13.34,K,1,50.900473700953555
5094751,CONFIRMED,6.481633073,2.54,1145.0,1.0,5945.0,1.302,406.25,G,1,46.05320860315846
7678434,CONFIRMED,10.37168928,3.2,720.0,1.0,5121.0,0.888,63.68,K,1,120.99282634892047
7678434,CONFIRMED,3.96996298,1.78,992.0,1.0,5121.0,0.888,229.37,K,1,75.36594207737423
7685981,CONFIRMED,4.40841331,2.66,1139.0,1.0,6007.0,0.961,398.0,F,1,124.62533827165129
7708215,FALSE POSITIVE,7.9426176,4.68,878.0,0.0,5811.0,0.926,140.57,G,0,200.2740255303239
7373451,CONFIRMED,154.608014,4.53,236.0,1.0,5067.0,0.75,0.73,K,1,20.28614118282381
7377033,FALSE POSITIVE,1.956811408,21.58,1109.0,0.0,5209.0,0.603,357.16,G,0,2481.9458738560256
7380537,CANDIDATE,2.688899233,12.04,929.0,0.997,4820.0,0.639,175.76,K,0,1806.2037953655067
7434875,CONFIRMED,9.439459486,4.16,686.0,1.0,5097.0,0.779,52.32,K,1,321.63917907619054
8349582,CONFIRMED,11.523067458,3.13,927.0,1.0,5644.0,1.411,174.81,G,1,44.0247357614662
7434875,CONFIRMED,20.47748843,2.92,530.0,0.0,5097.0,0.779,18.65,K,1,67.50827889492305
7434875,CONFIRMED,3.336123113,1.74,970.0,1.0,5097.0,0.779,209.79,K,1,154.7604757114969
7455287,CONFIRMED,8.01078456,1.72,453.0,1.0,3713.0,0.47,9.9,K,1,166.47557926585907
7455287,CONFIRMED,12.07134205,1.29,395.0,1.0,3713.0,0.47,5.74,K,1,62.89275847336295
7455287,CONFIRMED,20.99587872,1.3,328.0,0.986,3713.0,0.47,2.74,K,1,36.54526729901019
7458762,CONFIRMED,7.41113177,2.45,905.0,1.0,5849.0,0.919,158.11,G,1,83.72540379213902
7552344,FALSE POSITIVE,1.000747038,4.14,1620.0,0.0,5472.0,0.79,1635.2,G,0,1822.1387930802948
757450,CONFIRMED,8.884922995,10.51,770.0,0.999,5332.0,0.843,83.21,G,1,546.6226328278942
7585481,CONFIRMED,8.09888906,8.95,986.0,1.0,6214.0,1.076,223.19,F,1,599.674839847726
7663691,CONFIRMED,10.00653012,3.52,876.0,1.0,6063.0,1.001,139.21,F,1,93.54891143824389
5812701,CONFIRMED,17.855221681,13.16,911.0,0.635,6823.0,1.367,163.04,F,1,272.00446383525355
8013419,CANDIDATE,12.732624065,4.87,432.0,1.0,3950.0,0.541,8.22,K,0,381.4374770830085
8018547,CANDIDATE,83.92494032,4.78,226.0,0.966,3960.0,0.509,0.62,K,0,57.8695675145164
8039892,CONFIRMED,5.007316661,6.96,998.0,1.0,5865.0,0.827,234.28,G,1,969.9206838319027
8150320,CONFIRMED,2.211116989,1.85,931.0,1.0,4500.0,0.646,177.19,K,1,327.526767512888
8150320,CONFIRMED,27.9541337,1.9,400.0,0.997,4500.0,0.646,6.04,K,1,33.71594377113536
11086270,CONFIRMED,12.69104387,2.57,1008.0,0.415,5869.0,1.626,244.3,G,1,19.86440221800289
7767559,FALSE POSITIVE,4.409409243,10.95,1101.0,0.228,5600.0,0.975,347.06,G,0,1101.4400642693986
7825899,CONFIRMED,16.23947096,4.14,598.0,1.0,5191.0,0.837,30.14,K,1,159.53105900932624
7825899,CONFIRMED,6.308201629,2.96,819.0,1.0,5191.0,0.837,106.44,K,1,210.59884863106362
7849854,CONFIRMED,2.052349884,13.12,1497.0,1.0,5855.0,1.08,1183.18,G,1,2366.409371941183
7870390,CONFIRMED,9.7704486,2.23,460.0,1.0,3906.0,0.509,10.59,K,1,194.23877835046386
